rnd,day,prod,mid_mean,mid_std,mid_min,mid_max,mid_drift,sp_med,sp_mean,ret_std,ret_p99,ac1,bv_mean,av_mean,l1_bv,l1_av
r1,-2,ASH,9998.161750299336,4.72600916494055,9984.5,10012.0,-6.5,16.0,16.14977685860455,1.9113331940750393,6.5,-0.5055494507914168,31.49439425274845,31.435071296397084,14.044628279090018,14.17905736366605
r1,-2,INT,10500.567057291666,287.9168086631708,9998.5,11001.5,1003.0,12.0,11.994791666666666,1.578161777147456,5.5,-0.4928313436319713,25.111002604166668,25.16970486111111,11.542860243055555,11.52072482638889
r1,-1,ASH,10000.833550135501,3.825179255881658,9986.5,10013.5,10.0,16.0,16.19132791327913,1.9215559846877444,6.5,-0.48680395495494355,31.311544715447155,31.407262872628728,14.187425474254743,14.173766937669377
r1,-1,INT,11501.409155005966,287.62466789001087,10998.0,12001.0,999.5,13.0,13.01225729471743,1.776066600176435,6.5,-0.49109826613601,25.196333658748237,25.23397331597787,11.520229959865496,11.521314676212171
r1,0,ASH,10001.622562824956,5.221554428548948,9981.5,10017.5,4.0,16.0,16.184467071057192,1.9622147916036206,6.0,-0.4911201889318778,31.229202772963603,31.382474003466204,14.175259965337954,14.1421143847487
r1,0,INT,12500.963093050903,288.17603917080817,11998.5,13000.5,1001.5,14.0,14.128715011347671,1.8740998924412091,6.5,-0.482259345888474,25.117583486436832,25.15367988760402,11.58640440938074,11.518750675456609
r2,-1,ASH,10000.828136840966,3.8577740213788085,9986.5,10014.5,11.0,16.0,16.223990473097327,1.8946937283593825,6.0,-0.4885849937438181,31.454476561654218,31.392443434015373,14.196059326621198,14.227887842373065
r2,-1,INT,11501.158609128272,288.25506790254815,10998.0,12001.5,998.0,13.0,13.066731559593338,1.745929846343132,6.5,-0.49224753047573794,25.151849448410122,25.047804455980966,11.598961713173264,11.575600259571706
r2,0,ASH,10001.578589175759,5.218273130052587,9982.0,10019.5,5.0,16.0,16.249540887976668,1.8630307188221522,6.0,-0.46865144356187655,31.301717619099062,31.519066652263152,14.30549854164416,14.176082964243275
r2,0,INT,12501.42908992416,288.448408713998,11997.5,13000.5,1001.5,14.0,14.121018418201517,1.8747794493812868,7.0,-0.4956330225884192,25.11462621885157,25.09404117009751,11.596099674972914,11.575622968580715
r2,1,ASH,10000.150260473192,4.477783403939556,9985.0,10014.0,-15.0,16.0,16.228890818319947,1.8871469830955814,6.0,-0.48806104538738454,31.57130453657478,31.61829824180595,14.237139136097243,14.20132407206425
r2,1,INT,13500.109266868512,289.1473087897324,12997.0,14001.0,999.5,15.0,15.177011245674741,2.0301532228393966,7.5,-0.4958144835906092,25.22945501730104,25.2096669550173,11.57882785467128,11.55806660899654
