ts,S,a,b,c,resid_5000,iv_5000,resid_5100,iv_5100,resid_5200,iv_5200,resid_5300,iv_5300,resid_5400,iv_5400,resid_5500,iv_5500
0,5245.0,0.037540652308756486,0.00022831621600272282,0.24094911210156356,-0.002589495148636878,0.24276025871634488,0.0019049462844147325,0.24434630659222606,0.004086208994459717,0.24516645010113713,0.0030662580136530115,0.24424557675719266,-0.013068949282177444,0.22958849170804024,0.006601031138287888,0.2520399202644825
100,5245.5,0.05010393249804253,-0.00823505761655064,0.2417805697558096,-0.0027340981779392926,0.24789926840662957,0.0017766253667459708,0.2472972735345364,0.005162746076788516,0.24765966252684596,0.0021067505788173457,0.24355179256796838,-0.013143594532714048,0.22911226012110708,0.006831570688302285,0.2516590542018414
200,5246.5,0.02252877578685735,0.0024198576866463085,0.24023628506747646,-0.003244718062072438,0.23887113342881205,0.002651229488694423,0.2433348360002041,0.005306138005285038,0.24547996426224705,0.0016261622726077007,0.24216064798235898,-0.013558497848118939,0.22815860487818723,0.007219686143603216,0.25089613000750544
300,5247.5,0.0527188727783078,-0.008459076864489892,0.2412190225495673,-0.0012129123117479157,0.24937385782599447,-0.0008863825986393792,0.2443087564170361,0.004875315170891459,0.24687706919312474,0.003469499215787236,0.24435286297202113,-0.011958982030555038,0.22976610999703412,0.005713462554263721,0.25013320581316956
400,5247.5,0.0527188727783078,-0.008459076864489892,0.2412190225495673,-0.0012129123117479157,0.24937385782599447,-0.0008863825986393792,0.2443087564170361,0.004875315170891459,0.24687706919312474,0.003469499215787236,0.24435286297202113,-0.011958982030555038,0.22976610999703412,0.005713462554263721,0.25013320581316956
500,5247.5,0.013442094443098166,0.0018186580791875449,0.241463393482576,-0.002875041768690162,0.23958995106816294,0.002650025241996784,0.2443087564170361,0.003679880855967682,0.24508181319832806,0.0026892723150619413,0.24435286297202113,-0.012648702338638074,0.22976610999703412,0.0065045656943022445,0.25013320581316956
600,5245.0,0.08595686811232917,-0.021562014175824644,0.24420664723807464,-0.0010289367739792499,0.2608826885044575,-0.00042150072677454853,0.2516727629959584,0.00286342312603724,0.24874444536566737,0.0047736542308133845,0.24784383719563485,-0.011310365340068823,0.23216336086392397,0.005123725483972413,0.2520399202644825
700,5245.5,0.06658546051587225,-0.005944501473693315,0.23985735249184825,-0.001992561017714528,0.24789926840662957,0.0010246487363640144,0.244836843007803,0.0035832621068945247,0.24407809105515482,0.0037671890097033256,0.24355179256796838,-0.012424675923089934,0.22911226012110708,0.006042137087843291,0.2516590542018414
800,5245.5,0.05969538058060633,-0.006322489214209691,0.2405376166041471,-0.00197822151650473,0.24789926840662957,0.0005518936747878345,0.244836843007803,0.004698166701284284,0.2458697708427906,0.0031535207643493546,0.24355179256796838,-0.01272297192327207,0.22911226012110708,0.006297612299356187,0.2516590542018414
900,5245.5,0.06658546051587225,-0.005944501473693315,0.23985735249184825,-0.001992561017714528,0.24789926840662957,0.0010246487363640144,0.244836843007803,0.0035832621068945247,0.24407809105515482,0.0037671890097033256,0.24355179256796838,-0.012424675923089934,0.22911226012110708,0.006042137087843291,0.2516590542018414
