ts,S,a,b,c,resid_5000,iv_5000,resid_5100,iv_5100,resid_5200,iv_5200,resid_5300,iv_5300,resid_5400,iv_5400,resid_5500,iv_5500
0,5267.5,-0.041607070234178915,0.005234041056813234,0.24192847337620507,-0.00014601632528740693,0.23277966056466104,-0.0016960422301148803,0.23627003875374797,0.0008226773248667385,0.2418036233007908,0.009603850456244761,0.251687663859129,-0.014164235773715672,0.22721627429127694,0.005579766548006682,0.2445495543658734
100,5265.5,-0.012626396150145216,0.002198264317369056,0.24207765134867468,0.0005419000063777435,0.23967637607455256,-0.0030479897410392587,0.2376987335145474,0.0013960605283953043,0.2431387406408787,0.00899019658573269,0.25114706054329883,-0.012688058577576627,0.22933338893055916,0.004807891198110287,0.24617434448599812
200,5265.5,0.011159740582770025,-0.003990458599754585,0.24195082143762206,0.0018259127360327754,0.24720429214835166,-0.005938427231325455,0.2376987335145474,0.0027154913328641117,0.24516227785944938,0.009370545616953135,0.25114706054329883,-0.012264300565223762,0.22933338893055916,0.004290778110699417,0.24617434448599812
300,5266.5,-0.04232240701247443,0.007718009707744844,0.2421455238603469,1.7730925577746914e-05,0.23209481689333916,-0.0022155107357123283,0.23533903282284735,0.0015123089286933344,0.242477142316103,0.008998720188405945,0.2514224284946919,-0.013763631610116067,0.2282754276454449,0.005450382303150619,0.24536194942593575
400,5264.5,0.009901278634634568,-0.004305406315204242,0.2421999626953968,0.0009551768517417625,0.24648666657805446,-0.0038789461761765676,0.23999406247735028,0.0010817655407958093,0.24378722620606424,0.010752483055363804,0.25275396962761876,-0.01401208244030372,0.227723499673605,0.005101603168578356,0.2469855474770069
500,5263.5,-0.03868710675311534,0.012468719924977334,0.2420515292086043,-0.0008107266186350714,0.23003849777579305,-0.0008227756913145867,0.23581645647883415,0.0018841715493955191,0.24240859834551814,0.007957113216971679,0.2505683110177517,-0.014225599138862788,0.2287731164753437,0.006017816682445193,0.24779734650254248
600,5262.0,0.056963472603407915,-0.012039444010751037,0.24248045761031115,0.0017569150003120537,0.25807238571047786,-0.0048798762793586525,0.2439255062162876,0.00027260739842288606,0.24435286297202113,0.010971833837332856,0.2529560253322125,-0.012027019674183237,0.2303448595225811,0.0039055397174740103,0.2490132569372654
700,5262.5,-0.008295625012307434,0.007551901165053189,0.24192366446608032,-2.0891771333353404e-05,0.23756760591864584,-0.0014840068916725513,0.23809569250941282,-0.00012209892021960989,0.2410257982432843,0.009845052746639604,0.25216151130795483,-0.013285630885049943,0.22982154120802883,0.00506757572163527,0.24860795345902442
800,5262.5,0.008720169379453288,0.0004623235223604282,0.24257484515560787,0.001271591913564435,0.2450508194029331,-0.0048879360774777,0.23809569250941282,0.002440949498019096,0.24504843526482584,0.009534315810947963,0.25216151130795483,-0.013199219101131532,0.22982154120802883,0.004840297956077044,0.24860795345902442
900,5261.0,0.058942598261903324,-0.017674169622107605,0.2448448022906666,0.0022754428509557667,0.26341821938157084,-0.006546864994175672,0.2460461970627308,0.002022403779235543,0.24896259400248527,0.010519803229874586,0.25454207320809374,-0.012296901659515636,0.2313914961516857,0.004026116793624163,0.24982386389374733
